dataset,extradata,global_rank,metric_name,metric_value,model,remove,task,paper_title,paper_path,paper_url
WIDER Face (Easy),,# 13,AP,0.695,ACF-WIDER,-,Face Detection,Aggregate channel features for multi-view face detection,/paper/aggregate-channel-features-for-multi-view,https://arxiv.org/pdf/1407.4023v2.pdf
WIDER Face (Hard),,# 16,AP,0.29,ACF-WIDER,-,Face Detection,Aggregate channel features for multi-view face detection,/paper/aggregate-channel-features-for-multi-view,https://arxiv.org/pdf/1407.4023v2.pdf
WIDER Face (Medium),,# 14,AP,0.588,ACF-WIDER,-,Face Detection,Aggregate channel features for multi-view face detection,/paper/aggregate-channel-features-for-multi-view,https://arxiv.org/pdf/1407.4023v2.pdf
IJB-A,,# 7,TAR @ FAR=0.01,92.20%,All-in-one CNN,-,Face Verification,An All-In-One Convolutional Neural Network for Face Analysis,/paper/an-all-in-one-convolutional-neural-network,https://arxiv.org/pdf/1611.00851v1.pdf
Citeseer,,# 3,Accuracy,71.8%,DGI,-,Node Classification,Deep Graph Infomax,/paper/deep-graph-infomax,https://arxiv.org/pdf/1809.10341v2.pdf
Cora,,# 3,Accuracy,82.3%,DGI,-,Node Classification,Deep Graph Infomax,/paper/deep-graph-infomax,https://arxiv.org/pdf/1809.10341v2.pdf
Pubmed,,# 6,Accuracy,76.80%,DGI,-,Node Classification,Deep Graph Infomax,/paper/deep-graph-infomax,https://arxiv.org/pdf/1809.10341v2.pdf
CoQA,,# 6,In-domain,69.4,BiDAF++ (single model),-,Question Answering,"A Qualitative Comparison of CoQA, SQuAD 2.0 and QuAC",/paper/a-qualitative-comparison-of-coqa-squad-20-and,https://arxiv.org/pdf/1809.10735v1.pdf
CoQA,,# 6,Out-of-domain,63.8,BiDAF++ (single model),-,Question Answering,"A Qualitative Comparison of CoQA, SQuAD 2.0 and QuAC",/paper/a-qualitative-comparison-of-coqa-squad-20-and,https://arxiv.org/pdf/1809.10735v1.pdf
CoQA,,# 6,Overall,67.8,BiDAF++ (single model),-,Question Answering,"A Qualitative Comparison of CoQA, SQuAD 2.0 and QuAC",/paper/a-qualitative-comparison-of-coqa-squad-20-and,https://arxiv.org/pdf/1809.10735v1.pdf
enwiki8,,# 10,Bit per Character (BPC),1.32,LN HM-LSTM,-,Language Modelling,Hierarchical Multiscale Recurrent Neural Networks,/paper/hierarchical-multiscale-recurrent-neural,https://arxiv.org/pdf/1609.01704v7.pdf
enwiki8,,# 1,Number of params,35M,LN HM-LSTM,-,Language Modelling,Hierarchical Multiscale Recurrent Neural Networks,/paper/hierarchical-multiscale-recurrent-neural,https://arxiv.org/pdf/1609.01704v7.pdf
Text8,,# 8,Bit per Character (BPC),1.29,LayerNorm HM-LSTM,-,Language Modelling,Hierarchical Multiscale Recurrent Neural Networks,/paper/hierarchical-multiscale-recurrent-neural,https://arxiv.org/pdf/1609.01704v7.pdf
Text8,,# 1,Number of params,35M,LayerNorm HM-LSTM,-,Language Modelling,Hierarchical Multiscale Recurrent Neural Networks,/paper/hierarchical-multiscale-recurrent-neural,https://arxiv.org/pdf/1609.01704v7.pdf
PASCAL VOC 2012,,# 9,Mean IoU,83.1%,TuSimple,-,Semantic Segmentation,Understanding Convolution for Semantic Segmentation,/paper/understanding-convolution-for-semantic,https://arxiv.org/pdf/1702.08502v3.pdf
Caltech,,# 14,Reasonable Miss Rate,11.75,CompACT-Deep,-,Pedestrian Detection,Learning Complexity-Aware Cascades for Deep Pedestrian Detection,/paper/learning-complexity-aware-cascades-for-deep,https://arxiv.org/pdf/1507.05348v1.pdf
LDC2014T12:,,# 3,F1 Newswire,0.70,Imitation learning,-,Amr Parsing,Noise reduction and targeted exploration in imitation learning for Abstract Meaning Representation parsing,/paper/noise-reduction-and-targeted-exploration-in,https://aclweb.org/anthology/P16-1001
LDC2014T12:,,# 3,F1 Full,--,Imitation learning,-,Amr Parsing,Noise reduction and targeted exploration in imitation learning for Abstract Meaning Representation parsing,/paper/noise-reduction-and-targeted-exploration-in,https://aclweb.org/anthology/P16-1001
SST-2 Binary classification,,# 11,Accuracy,89.5,BLSTM-2DCNN,-,Sentiment Analysis,Text Classification Improved by Integrating Bidirectional LSTM with Two-dimensional Max Pooling,/paper/text-classification-improved-by-integrating,https://arxiv.org/pdf/1611.06639v1.pdf
TREC-6,,# 3,Error,3.9,LSTM-CNN,-,Text Classification,Text Classification Improved by Integrating Bidirectional LSTM with Two-dimensional Max Pooling,/paper/text-classification-improved-by-integrating,https://arxiv.org/pdf/1611.06639v1.pdf
Atari 2600 Freeway,,# 16,Score,27.0,MP-EB,-,Atari Games,Incentivizing Exploration In Reinforcement Learning With Deep Predictive Models,/paper/incentivizing-exploration-in-reinforcement,https://arxiv.org/pdf/1507.00814v3.pdf
Atari 2600 Frostbite,,# 17,Score,507.0,MP-EB,-,Atari Games,Incentivizing Exploration In Reinforcement Learning With Deep Predictive Models,/paper/incentivizing-exploration-in-reinforcement,https://arxiv.org/pdf/1507.00814v3.pdf
Atari 2600 Montezuma's Revenge,,# 10,Score,142.0,MP-EB,-,Atari Games,Incentivizing Exploration In Reinforcement Learning With Deep Predictive Models,/paper/incentivizing-exploration-in-reinforcement,https://arxiv.org/pdf/1507.00814v3.pdf
Atari 2600 Q*Bert,,# 7,Score,15805.0,MP-EB,-,Atari Games,Incentivizing Exploration In Reinforcement Learning With Deep Predictive Models,/paper/incentivizing-exploration-in-reinforcement,https://arxiv.org/pdf/1507.00814v3.pdf
Atari 2600 Venture,,# 27,Score,0.0,MP-EB,-,Atari Games,Incentivizing Exploration In Reinforcement Learning With Deep Predictive Models,/paper/incentivizing-exploration-in-reinforcement,https://arxiv.org/pdf/1507.00814v3.pdf
COCO,,# 1,AP,0.770,HRNet-48,-,Multi-Person Pose Estimation,Deep High-Resolution Representation Learning for Human Pose Estimation,/paper/deep-high-resolution-representation-learning,https://arxiv.org/pdf/1902.09212v1.pdf
COCO,,# 1,Mean mAP,77.0,HRNet-48,-,Pose Estimation,Deep High-Resolution Representation Learning for Human Pose Estimation,/paper/deep-high-resolution-representation-learning,https://arxiv.org/pdf/1902.09212v1.pdf
COCO,,# 1,Validation AP,76.3,HRNet-48,-,Keypoint Detection,Deep High-Resolution Representation Learning for Human Pose Estimation,/paper/deep-high-resolution-representation-learning,https://arxiv.org/pdf/1902.09212v1.pdf
COCO,,# 1,Test AP,75.5,HRNet-48,-,Keypoint Detection,Deep High-Resolution Representation Learning for Human Pose Estimation,/paper/deep-high-resolution-representation-learning,https://arxiv.org/pdf/1902.09212v1.pdf
COCO,,# 2,Validation AP,75.8,HRNet-32,-,Keypoint Detection,Deep High-Resolution Representation Learning for Human Pose Estimation,/paper/deep-high-resolution-representation-learning,https://arxiv.org/pdf/1902.09212v1.pdf
MPII Human Pose,,# 1,PCKh-0.5,92.3%,HRNet-32,-,Pose Estimation,Deep High-Resolution Representation Learning for Human Pose Estimation,/paper/deep-high-resolution-representation-learning,https://arxiv.org/pdf/1902.09212v1.pdf
Caltech,,# 19,Reasonable Miss Rate,24.8,LDCF,-,Pedestrian Detection,Local Decorrelation For Improved Pedestrian Detection,/paper/local-decorrelation-for-improved-pedestrian,https://papers.nips.cc/paper/5419-local-decorrelation-for-improved-pedestrian-detection.pdf
Chinese Poems,,# 3,BLEU-2,0.738,SeqGAN,-,Text Generation,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,/paper/seqgan-sequence-generative-adversarial-nets,https://arxiv.org/pdf/1609.05473v6.pdf
COCO Captions,,# 3,BLEU-2,0.831,SeqGAN,-,Text Generation,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,/paper/seqgan-sequence-generative-adversarial-nets,https://arxiv.org/pdf/1609.05473v6.pdf
COCO Captions,,# 3,BLEU-3,0.642,SeqGAN,-,Text Generation,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,/paper/seqgan-sequence-generative-adversarial-nets,https://arxiv.org/pdf/1609.05473v6.pdf
COCO Captions,,# 3,BLEU-4,0.521,SeqGAN,-,Text Generation,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,/paper/seqgan-sequence-generative-adversarial-nets,https://arxiv.org/pdf/1609.05473v6.pdf
COCO Captions,,# 3,BLEU-5,0.42700000000000005,SeqGAN,-,Text Generation,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,/paper/seqgan-sequence-generative-adversarial-nets,https://arxiv.org/pdf/1609.05473v6.pdf
EMNLP2017 WMT,,# 2,BLEU-2,0.8590000000000001,SeqGAN,-,Text Generation,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,/paper/seqgan-sequence-generative-adversarial-nets,https://arxiv.org/pdf/1609.05473v6.pdf
EMNLP2017 WMT,,# 2,BLEU-3,0.6015,SeqGAN,-,Text Generation,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,/paper/seqgan-sequence-generative-adversarial-nets,https://arxiv.org/pdf/1609.05473v6.pdf
EMNLP2017 WMT,,# 2,BLEU-4,0.4541,SeqGAN,-,Text Generation,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,/paper/seqgan-sequence-generative-adversarial-nets,https://arxiv.org/pdf/1609.05473v6.pdf
EMNLP2017 WMT,,# 3,BLEU-5,0.4498,SeqGAN,-,Text Generation,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,/paper/seqgan-sequence-generative-adversarial-nets,https://arxiv.org/pdf/1609.05473v6.pdf
VOT2017/18,,# 1,Expected Average Overlap (EAO),0.414,SiamRPN++,-,Visual Object Tracking,SiamRPN++: Evolution of Siamese Visual Tracking with Very Deep Networks,/paper/siamrpn-evolution-of-siamese-visual-tracking,https://arxiv.org/pdf/1812.11703v1.pdf
SK-LARGE,,# 1,F-Measure,0.732,DeepFlux,-,Object Skeleton Detection,DeepFlux for Skeletons in the Wild,/paper/deepflux-for-skeletons-in-the-wild,https://arxiv.org/pdf/1811.12608v1.pdf
CUB-200-2011,,# 10,Accuracy,76.4%,Part RCNN,-,Fine-Grained Image Classification,Part-based R-CNNs for Fine-grained Category Detection,/paper/part-based-r-cnns-for-fine-grained-category,https://arxiv.org/pdf/1407.3867v1.pdf
PASCAL VOC 2007,,# 7,MAP,78.9%,OHEM,-,Object Detection,Training Region-based Object Detectors with Online Hard Example Mining,/paper/training-region-based-object-detectors-with,https://arxiv.org/pdf/1604.03540v1.pdf
bAbi,,# 6,Accuracy (trained on 1k),60%,GORU,-,Question Answering,Gated Orthogonal Recurrent Units: On Learning to Forget,/paper/gated-orthogonal-recurrent-units-on-learning,https://arxiv.org/pdf/1706.02761v3.pdf
AG News,,# 7,Error,7.34,SWEM-concat,-,Text Classification,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
CoNLL 2003 (English),,# 19,F1,86.28,SWEM-CRF,-,Named Entity Recognition (NER),Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
DBpedia,,# 15,Error,1.43,SWEM-concat,-,Text Classification,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
MR,,# 7,Accuracy,78.2,SWEM-concat,-,Sentiment Analysis,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
SST-2 Binary classification,,# 19,Accuracy,84.3,SWEM-concat,-,Sentiment Analysis,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
SST-5 Fine-grained classification,,# 12,Accuracy,46.1,SWEM-concat,-,Sentiment Analysis,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
SUBJ,,# 7,Accuracy,93.0,SWEM-concat,-,Subjectivity Analysis,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
TREC-6,,# 9,Error,7.8,SWEM-aver,-,Text Classification,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
Yahoo! Answers,,# 4,Accuracy,73.53,SWEM-concat,-,Text Classification,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
Yelp Binary classification,,# 11,Error,4.19,SWEM-hier,-,Sentiment Analysis,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
Yelp Fine-grained classification,,# 11,Error,36.21,SWEM-hier,-,Sentiment Analysis,Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,/paper/baseline-needs-more-love-on-simple-word,https://arxiv.org/pdf/1805.09843v1.pdf
SemEval,,# 1,F1-score,0.685,LSTMs+CNNs ensemble with multiple conv. ops,-,Sentiment Analysis,BB_twtr at SemEval-2017 Task 4: Twitter Sentiment Analysis with CNNs and LSTMs,/paper/bb_twtr-at-semeval-2017-task-4-twitter,https://arxiv.org/pdf/1704.06125v1.pdf
AFLW2000-3D,,# 4,Mean NME,4.50%,DeFA,-,Face Alignment,Dense Face Alignment,/paper/dense-face-alignment,https://arxiv.org/pdf/1709.01442v1.pdf
AFLW2000-3D,,# 3,Mean NME,5.6454%,DeFA,-,3D Face Reconstruction,Dense Face Alignment,/paper/dense-face-alignment,https://arxiv.org/pdf/1709.01442v1.pdf
AFLW-LFPA,,# 2,Mean NME,3.86%,DeFA,-,Face Alignment,Dense Face Alignment,/paper/dense-face-alignment,https://arxiv.org/pdf/1709.01442v1.pdf
IWSLT2015 German-English,,# 16,BLEU score,19.41,QRNN,-,Machine Translation,Quasi-Recurrent Neural Networks,/paper/quasi-recurrent-neural-networks,https://arxiv.org/pdf/1611.01576v2.pdf
WMT2014 English-French,,# 22,BLEU score,34.54,CSLM + RNN + WP,-,Machine Translation,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,/paper/learning-phrase-representations-using-rnn,https://arxiv.org/pdf/1406.1078v3.pdf
Citeseer,,# 4,Accuracy,71.60%,alpha-LoNGAE,-,Node Classification,Learning to Make Predictions on Graphs with Autoencoders,/paper/learning-to-make-predictions-on-graphs-with,https://arxiv.org/pdf/1802.08352v2.pdf
Cora,,# 7,Accuracy,78.30%,alpha-LoNGAE,-,Node Classification,Learning to Make Predictions on Graphs with Autoencoders,/paper/learning-to-make-predictions-on-graphs-with,https://arxiv.org/pdf/1802.08352v2.pdf
Pubmed,,# 3,Accuracy,79.40%,alpha-LoNGAE,-,Node Classification,Learning to Make Predictions on Graphs with Autoencoders,/paper/learning-to-make-predictions-on-graphs-with,https://arxiv.org/pdf/1802.08352v2.pdf
MPII Multi-Person,,# 6,AP,62.2%,Local Joint-to-Person Association,-,Multi-Person Pose Estimation,Multi-Person Pose Estimation with Local Joint-to-Person Associations,/paper/multi-person-pose-estimation-with-local-joint,https://arxiv.org/pdf/1608.08526v2.pdf
IJB-A,,# 5,TAR @ FAR=0.01,94.10%,NAN,-,Face Verification,Neural Aggregation Network for Video Face Recognition,/paper/neural-aggregation-network-for-video-face,https://arxiv.org/pdf/1603.05474v4.pdf
IWSLT2015 German-English,,# 5,BLEU score,32.93,ConvS2S+Risk,-,Machine Translation,Classical Structured Prediction Losses for Sequence to Sequence Learning,/paper/classical-structured-prediction-losses-for,https://arxiv.org/pdf/1711.04956v5.pdf
IWSLT2015 German-English,,# 6,BLEU score,32.84,ConvS2S (MLE+SLE),-,Machine Translation,Classical Structured Prediction Losses for Sequence to Sequence Learning,/paper/classical-structured-prediction-losses-for,https://arxiv.org/pdf/1711.04956v5.pdf
Barrettâs Esophagus,,# 1,Mean Accuracy,81%,Attention-based model,-,Medical Object Detection,Finding a Needle in the Haystack: Attention-Based Classification of High Resolution Microscopy Images,/paper/finding-a-needle-in-the-haystack-attention,https://arxiv.org/pdf/1811.08513v1.pdf
Atari 2600 Freeway,,# 10,Score,30.48,A3C-CTS,-,Atari Games,Unifying Count-Based Exploration and Intrinsic Motivation,/paper/unifying-count-based-exploration-and,https://arxiv.org/pdf/1606.01868v2.pdf
Atari 2600 Gravitar,,# 21,Score,238.68,A3C-CTS,-,Atari Games,Unifying Count-Based Exploration and Intrinsic Motivation,/paper/unifying-count-based-exploration-and,https://arxiv.org/pdf/1606.01868v2.pdf
Atari 2600 Montezuma's Revenge,,# 4,Score,3459.0,DDQN-PC,-,Atari Games,Unifying Count-Based Exploration and Intrinsic Motivation,/paper/unifying-count-based-exploration-and,https://arxiv.org/pdf/1606.01868v2.pdf
Atari 2600 Montezuma's Revenge,,# 8,Score,273.7,A3C-CTS,-,Atari Games,Unifying Count-Based Exploration and Intrinsic Motivation,/paper/unifying-count-based-exploration-and,https://arxiv.org/pdf/1606.01868v2.pdf
Atari 2600 Private Eye,,# 22,Score,99.32,A3C-CTS,-,Atari Games,Unifying Count-Based Exploration and Intrinsic Motivation,/paper/unifying-count-based-exploration-and,https://arxiv.org/pdf/1606.01868v2.pdf
Atari 2600 Venture,,# 27,Score,0.0,A3C-CTS,-,Atari Games,Unifying Count-Based Exploration and Intrinsic Motivation,/paper/unifying-count-based-exploration-and,https://arxiv.org/pdf/1606.01868v2.pdf
WikiText-103,,# 8,Validation perplexity,-,Temporal CNN,-,Language Modelling,Convolutional Sequence Modeling Revisited,/paper/convolutional-sequence-modeling-revisited,https://openreview.net/pdf?id=rk8wKk-R-
WikiText-103,,# 12,Test perplexity,45.2,Temporal CNN,-,Language Modelling,Convolutional Sequence Modeling Revisited,/paper/convolutional-sequence-modeling-revisited,https://openreview.net/pdf?id=rk8wKk-R-
Switchboard + Hub500,,# 5,Percentage error,6.6,CNN-LSTM,-,Speech Recognition,Achieving Human Parity in Conversational Speech Recognition,/paper/achieving-human-parity-in-conversational,https://arxiv.org/pdf/1610.05256v2.pdf
Switchboard + Hub500,,# 2,Percentage error,5.8,Microsoft 2016b,-,Speech Recognition,Achieving Human Parity in Conversational Speech Recognition,/paper/achieving-human-parity-in-conversational,https://arxiv.org/pdf/1610.05256v2.pdf
